"radioMode:vector manet.host[0].wlan[0].radio ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
7.55689478954,2
7.557052404825,3
7.557302404825,2
7.557582404825,3
7.557832404825,2
7.559214020029,3
7.559464020029,2
7.560725020029,3
7.560975020029,2
7.562443020029,3
7.562693020029,2
7.567368634887,3
7.567618634887,2
7.576332115902,3
7.576582115902,2
7.576898115902,3
7.577056115902,2
7.577380115902,3
7.577538115902,2
7.578226729862,3
7.578384729862,2
7.578515343761,3
7.578765343761,2
7.579099343761,3
7.579349343761,2
7.579899343761,3
7.580149343761,2
7.580942343761,3
7.581192343761,2
7.582643132189,3
7.582893132189,2
7.583344132189,3
7.583594132189,2
7.583652745755,3
7.583810745755,2
7.583999745755,3
7.584157745755,2
7.584589745755,3
7.584747745755,2
7.585946745718,3
7.586104745718,2
7.587571745718,3
7.587729745718,2
7.588404745718,3
7.588562745718,2
7.588738358961,3
7.588908358961,2
7.589038972183,3
7.589288972183,2
7.589595972183,3
7.589845972183,2
7.591116972136,3
7.591366972136,2
7.592402972136,3
7.592652972136,2
7.592711585119,3
7.592869585119,2
7.592968585119,3
7.593126585119,2
7.593720585119,3
7.593878585119,2
7.594211585119,3
7.594369585119,2
7.594576585119,3
7.594734585119,2
7.596957585119,3
7.597115585119,2
7.597237197812,3
7.597487197812,2
7.597785197812,3
7.598035197812,2
7.598693197812,3
7.598943197812,2
7.599655197812,3
7.599905197812,2
7.600653197812,3
7.600903197812,2
7.606707284354,3
7.606957284354,2
7.615506284254,3
7.615756284254,2
7.616099284254,3
7.616257284254,2
7.616428284254,3
7.616586284254,2
7.616784284254,3
7.616942284254,2
7.617135895674,3
7.617385895674,2
7.617710895674,3
7.617960895674,2
7.618339895674,3
7.618589895674,2
7.618648506991,3
7.618806506991,2
7.618910118292,3
7.619160118292,2
7.619683118292,3
7.619933118292,2
7.620944118233,3
7.621194118233,2
7.622012118197,3
7.622262118197,2
7.624648118197,3
7.624898118197,2
7.62495672911,3
7.62511472911,2
7.62538472911,3
7.62554272911,2
7.625709339979,3
