"datarateSelected:vector manet.host[0].wlan[0].mac.dcf ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
8.694603231137,54000000
8.697341824148,54000000
8.697716328421,54000000
9.623112706617,54000000
9.623400391178,54000000
9.623762391178,54000000
9.62459081083,24000000
9.62493281083,54000000
9.625992887118,24000000
9.626244887118,54000000
9.630832425034,54000000
9.640067107314,54000000
9.640249107314,54000000
9.640851107314,54000000
9.641867107314,54000000
9.642595107314,54000000
9.643449107314,54000000
9.645185107314,54000000
9.652165705726,54000000
9.660001801998,54000000
9.664578801998,54000000
9.667756896145,54000000
9.674717009261,54000000
9.677482427146,54000000
9.685737179643,54000000
9.693544770933,54000000
9.693863188206,54000000
9.694429188206,54000000
9.695121188206,54000000
9.696101188206,54000000
9.698422188206,54000000
9.700851188206,54000000
9.705818188206,54000000
9.70611960506,54000000
9.70647660506,54000000
9.70674260506,54000000
9.70708960506,54000000
9.709820021852,54000000
9.713136103731,54000000
9.721826103731,54000000
9.722083103731,54000000
9.722649103731,54000000
9.723719103731,54000000
9.725113103731,54000000
9.725414519931,54000000
9.725679936122,54000000
9.726344936122,54000000
9.72664635228,54000000
9.72709335228,54000000
9.72776435228,54000000
9.728807768408,54000000
9.731659305472,54000000
9.734121305472,54000000
9.734430721368,54000000
9.734807721368,54000000
9.735517721368,54000000
9.736407721368,54000000
9.738134796732,54000000
9.742822796732,54000000
9.743892796732,54000000
9.744152796732,54000000
9.744961796732,54000000
9.745644796732,54000000
9.746723796732,54000000
9.749215796732,54000000
9.752904796732,54000000
9.760022796732,54000000
9.764782796732,54000000
9.768612796732,54000000
9.777932796732,54000000
9.785785796732,54000000
9.791039708463,54000000
9.798820708463,54000000
9.802470708463,54000000
9.810971708463,54000000
9.811273121772,54000000
9.811792121772,54000000
9.812490121772,54000000
9.812720121772,54000000
9.813083535025,54000000
9.814398177717,54000000
9.815162177717,54000000
9.816445534979,54000000
9.819443667494,54000000
9.822493667494,54000000
9.829782667494,54000000
9.830321667494,54000000
9.830667080159,54000000
9.831377080159,54000000
9.831952080159,54000000
9.832788080159,54000000
9.833399080159,54000000
9.835684080159,54000000
9.845582978064,54000000
9.846220978064,54000000
9.846612978064,54000000
9.846869978064,54000000
9.848196508902,54000000
9.849956508902,54000000
9.851140508902,54000000
9.857931508902,54000000
9.861761508902,54000000
9.868807508902,54000000
9.872451508902,54000000
9.877616508902,54000000
9.884788508902,54000000
9.886344508902,54000000
9.890141508902,54000000
9.891346508902,54000000
9.89164791954,54000000
9.89216691954,54000000
9.89253191954,54000000
9.893860330141,54000000
9.895227802257,54000000
9.897311802257,54000000
9.899278802257,54000000
9.899562802257,54000000
9.900128802257,54000000
9.900685802257,54000000
9.902286802257,54000000
9.904409802257,54000000
9.909529802257,54000000
9.916287802257,54000000
9.917312802257,54000000
9.922843802257,54000000
9.925800802257,54000000
9.926047211762,54000000
9.926784211762,54000000
9.927881211762,54000000
9.929302211762,54000000
9.932604292024,54000000
9.937292292024,54000000
9.938542292024,54000000
9.939090292024,54000000
9.939509292024,54000000
9.940063292024,54000000
9.941157292024,54000000
9.941738292024,54000000
