"radioMode:vector manet.host[1].wlan[0].radio ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-13:24:00-21284)",
9.893585833033,2
9.894596832905,3
9.894630832905,2
9.930243238563,3
9.930277238563,2
9.930458701596,3
9.930492701596,2
10.040116993709,3
10.040150993709,2
10.040679429751,3
10.040713429751,2
10.041014865684,3
10.041048865684,2
10.077642830461,3
10.077676830461,2
10.078865830311,3
10.078899830311,2
10.079081256907,3
10.079115256907,2
10.139402629314,3
10.139436629314,2
10.140510040994,3
10.140544040994,2
10.143225040662,3
10.143259040662,2
10.15006203018,3
10.15009603018,2
10.150277439364,3
10.150311439364,2
10.179093239069,3
10.179127239069,2
10.200413601853,3
10.200447601853,2
10.200628998739,3
10.200662998739,2
10.225192354915,3
10.225226354915,2
10.225407745755,3
10.225441745755,2
10.225898745695,3
10.225932745695,2
10.235949753385,3
10.235983753385,2
10.23737715281,3
10.23741115281,2
10.237957540632,3
10.237991540632,2
10.322604876319,3
10.322638876319,2
10.332045875027,3
10.332079875027,2
10.341368270329,3
10.341402270329,2
10.345720269789,3
10.345754269789,2
10.387752188036,3
10.387786188036,2
10.387967539293,3
10.388001539293,2
10.388386539242,3
10.388420539242,2
10.388868539183,3
10.388902539183,2
10.392066187438,3
10.392100187438,2
10.521828564175,3
10.521862564175,2
10.525041345466,3
10.525075345466,2
10.52871934502,3
10.52875334502,2
10.529416662018,3
10.529450662018,2
10.547193831105,3
10.547227831105,2
10.547409143687,3
10.547443143687,2
10.548558706082,3
10.548592706082,2
10.549697705944,3
10.549731705944,2
10.561993484232,3
10.562027484232,2
10.562256793228,3
10.562290793228,2
10.565671053912,3
10.565705053912,2
10.56695005374,3
10.56698405374,2
10.56716536154,3
10.56719936154,2
10.602047919413,3
10.602081919413,2
10.602682218674,3
10.602716218674,2
10.611408079325,3
10.611442079325,2
10.611623376374,3
10.611657376374,2
10.612123376313,3
10.612157376313,2
10.612509673169,3
10.612543673169,2
10.641337444941,3
10.641371444941,2
10.641552734759,3
10.641586734759,2
10.675450661832,3
10.675484661832,2
10.677679943183,3
10.677713943183,2
10.677895224227,3
10.677929224227,2
10.681045067637,3
10.681079067637,2
10.681737067553,3
10.681771067553,2
10.682393067474,3
10.682427067474,2
10.683230347306,3
10.683264347306,2
10.691419960661,3
10.691453960661,2
10.691635238391,3
10.691669238391,2
10.691964238351,3
10.691998238351,2
10.707890115466,3
10.707924115466,2
10.708524389174,3
10.708558389174,2
10.709308662712,3
10.709342662712,2
10.744970881148,3
10.745004881148,2
10.745716881058,3
10.745750881058,2
10.7459321457,3
10.7459661457,2
10.746953973191,3
10.746987973191,2
10.761708739808,3
10.761742739808,2
10.762283739738,3
10.762317739738,2
10.762792000355,3
10.762826000355,2
10.775162356888,3
10.775196356888,2
10.77537761444,3
10.77541161444,2
10.776215614339,3
10.776249614339,2
10.776478871633,3
10.776512871633,2
10.797439761131,3
10.797473761131,2
10.797975013285,3
10.798009013285,2
10.824169140233,3
10.824203140233,2
10.824834140154,3
10.824868140154,2
10.825315385727,3
10.825349385727,2
10.920354324169,3
10.920388324169,2
10.921078546782,3
10.921112546782,2
10.933173303779,3
10.933207303779,2
10.933654523348,3
10.933688523348,2
10.934121742804,3
10.934155742804,2
10.992215650087,3
10.992249650087,2
10.992750855511,3
10.992784855511,2
11.002823403562,3
11.002857403562,2
11.006795780295,3
11.006829780295,2
11.014018533519,3
11.014052533519,2
11.014475533474,3
11.014509533474,2
11.015095533399,3
11.015129533399,2
11.015310733388,3
11.015344733388,2
11.029521484994,3
11.029555484994,2
11.030173681482,3
11.030207681482,2
11.040072859867,3
11.040106859867,2
11.040764859784,3
11.040798859784,2
11.040980053637,3
11.041014053637,2
11.041354053592,3
11.041388053592,2
11.041728053547,3
11.041762053547,2
11.063634808809,3
11.063668808809,2
11.065252808616,3
11.065286808616,2
11.065467996619,3
11.065501996619,2
11.07450374641,3
11.07453774641,2
11.081120871178,3
11.081154871178,2
11.08790005461,3
11.08793405461,2
11.160872538538,3
11.160906538538,2
11.161429538472,3
11.161463538472,2
11.165653641215,3
11.165687641215,2
11.167695640972,3
11.167729640972,2
11.167910804549,3
11.167944804549,2
11.168419804488,3
11.168453804488,2
11.169077967841,3
11.169111967841,2
11.199646173189,3
11.199680173189,2
11.200163329126,3
11.200197329126,2
11.24812969478,3
11.24816369478,2
11.249619839077,3
11.249653839077,2
11.252027838791,3
11.252061838791,2
11.25582183834,3
11.25585583834,2
11.316758908087,3
11.316792908087,2
11.31697403625,3
11.31700803625,2
11.317704036163,3
11.317738036163,2
11.318195036105,3
11.318229036105,2
11.325941404035,3
11.325975404035,2
11.332880771795,3
11.332914771795,2
11.333322896121,3
11.333356896121,2
11.334059896034,3
11.334093896034,2
11.335120895908,3
11.335154895908,2
11.336100895792,3
11.336134895792,2
11.345914999358,3
11.345948999358,2
11.347077488703,3
11.347111488703,2
11.349271488443,3
11.349305488443,2
11.349956856499,3
11.349990856499,2
11.350171976796,3
11.350205976796,2
11.350694976734,3
11.350728976734,2
11.361236223159,3
11.361270223159,2
11.36393422284,3
11.36396822284,2
11.367371222433,3
11.367405222433,2
11.367586338608,3
11.367620338608,2
11.412075951073,3
11.412109951073,2
11.412291056674,3
11.412325056674,2
11.426343193567,3
11.426377193567,2
11.430259193104,3
11.430293193104,2
11.445759557201,3
11.445793557201,2
11.44746865468,3
11.44750265468,2
11.447958751888,3
11.447992751888,2
11.448940751772,3
11.448974751772,2
11.473616844817,3
11.473650844817,2
11.473831935886,3
11.473865935886,2
11.474232935839,3
11.474266935839,2
11.479998030127,3
11.480032030127,2
11.480213119691,3
11.480247119691,2
11.48106911959,3
11.48110311959,2
11.481416119549,3
11.481450119549,2
11.496298482484,3
11.496332482484,2
11.49716748235,3
11.49720148235,2
11.502865846113,3
11.502899846113,2
11.503676930217,3
11.503710930217,2
11.504781582463,3
11.504815582463,2
11.518060596967,3
11.518094596967,2
11.520714245797,3
11.520748245797,2
11.523647245451,3
11.523681245451,2
