"packetReceivedFromPeerWithoutRetry:vector(packetBytes) manet.host[1].wlan[0].mac.dcf ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
32.336070507755,104
32.337710639075,98
32.337838639066,122
32.346854997886,122
32.348333898432,122
32.35161318834,116
32.360040105701,122
32.378585136294,1500
32.397536842159,1500
32.409410843397,98
32.409746646349,104
32.413320086484,104
32.415749295354,1500
32.419729144969,116
32.420287580594,116
32.426645905766,122
32.426818905747,122
32.43838337386,944
32.441195452577,116
32.441332452565,122
32.441514452549,122
32.442056212039,116
32.442686972713,116
32.44339358116,116
32.445230794508,122
32.446554270208,122
32.447738052992,116
32.448262682809,122
32.451747261923,122
32.45232405141,122
32.452466002028,122
32.454775921758,122
32.540177741657,1500
32.55397666655,1500
32.628866664819,864
32.77163357279,864
32.803409379614,116
32.817607963887,122
32.823969320224,122
32.829520837627,116
32.831261347219,116
32.831378902896,110
32.832093851583,122
32.83222185158,116
32.832787851567,116
32.833257800296,122
32.835339543424,116
32.840015364542,116
32.84224529503,122
32.854835362629,110
32.859520773886,122
32.861215510532,122
32.863639338042,116
32.874019243549,122
32.874900889674,122
32.875524889659,122
32.875670889656,122
32.875834889652,116
32.886485489461,122
32.886809203006,1500
32.887446325565,122
32.887583325556,122
32.887720325547,122
32.899553962903,864
32.904504254724,864
32.913865685286,116
32.916524859684,1500
32.926022951481,122
32.927163548866,864
32.954444513511,1500
32.958127961866,1500
32.959398980572,864
32.971195710148,944
32.971770703456,122
32.993033150369,1500
33.001612651793,122
33.00375118143,1500
33.094499173762,864
33.166029167741,944
33.200896164818,1500
33.229936149168,864
33.306827142733,1500
33.413901999084,1500
33.42887694654,1500
33.448065498456,116
33.454065560204,116
33.454215718222,122
33.460183638927,14
33.463372714066,122
33.481961068888,1500
33.495896988013,1500
33.506320876081,1500
33.597907742991,122
33.598226742965,122
33.59840174295,116
33.598941715869,116
33.599424715829,116
33.599755049908,864
33.601743711922,122
33.605827737567,122
33.605919737559,122
33.606177602834,86
33.606699018454,122
33.607236408133,116
33.608545895803,104
33.615595507215,116
33.621046745398,122
33.657483294663,14
